Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
88,Mike Conley\conlemi01,PG,22,MEM,80,2569,13.9,0.526,0.255,0.225,1.4,7.3,4.3,24.8,2.2,0.4,15.7,18.4,,2.6,1.3,4,0.074,,0,-0.6,-0.6,0.9
89,George Hill\hillge01,PG,23,SAS,78,2276,14.7,0.572,0.255,0.321,2.2,8.2,5.3,15.5,1.6,0.8,10.7,19,,4.1,2.6,6.7,0.142,,0,0.9,0.9,1.7
90,LeBron James\jamesle01,SF,25,CLE,76,2966,31.1,0.604,0.253,0.506,3,18.5,11.1,41.8,2.2,2,12.3,33.5,,13.3,5.2,18.5,0.299,,9.1,2.8,11.8,10.3
91,Joe Johnson\johnsjo02,SG,28,ATL,76,2886,19.3,0.538,0.253,0.194,3,11.4,7.1,22,1.5,0.1,8.8,26.3,,6,2.4,8.4,0.14,,3.4,-0.7,2.7,3.4
92,Corey Brewer\breweco01,SG,23,MIN,82,2482,12.1,0.502,0.25,0.27,3.1,9.6,6.3,12.5,2.4,0.9,13.4,21.5,,-0.4,1.4,1,0.02,,-2.1,-0.1,-2.2,-0.1
93,Willie Green\greenwi01,SG,28,PHI,73,1553,12.8,0.538,0.25,0.21,1.5,8.4,4.9,15.8,1.1,0.6,10.1,19.4,,1.8,0.3,2.2,0.067,,-0.7,-1.5,-2.2,-0.1
94,Lamar Odom\odomla01,PF,30,LAL,82,2585,15.9,0.533,0.246,0.273,8,26.5,17.3,15.6,1.5,1.7,15.3,17,,2.8,4.9,7.7,0.143,,0.7,1.8,2.5,2.9
95,Deron Williams\willide01,PG,25,UTA,76,2802,20.6,0.574,0.246,0.397,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,,7.4,3,10.3,0.177,,4.2,-0.4,3.8,4.1
96,Devin Harris\harride01,PG,26,NJN,64,2221,16.2,0.512,0.245,0.437,1.2,9.7,5.3,34.6,1.9,0.6,14.7,25.5,,1.5,1.2,2.7,0.057,,0.7,-1.5,-0.8,0.7
97,Richard Jefferson\jefferi01,SF,29,SAS,81,2520,13.1,0.551,0.241,0.37,2.7,13.6,8.3,9.6,0.9,1.1,10.4,18.3,,3,3,6,0.113,,-0.5,0.3,-0.2,1.2
98,Antawn Jamison\jamisan01,PF,33,TOT,66,2406,17.3,0.529,0.238,0.29,6.6,20.1,13.4,6.1,1.5,0.7,7.2,23.9,,3,2.8,5.8,0.115,,1.1,-0.9,0.2,1.3
99,Beno Udrih\udrihbe01,PG,27,SAC,79,2477,15.7,0.566,0.237,0.168,1.7,8.5,5.1,24.1,1.8,0.3,13.1,18.6,,4.2,1.3,5.5,0.107,,0.7,-0.2,0.4,1.5
100,Brad Miller\millebr01,C,33,CHI,82,1950,12.9,0.53,0.227,0.379,4.8,17.8,11.4,12.2,1.2,1.1,13.6,18.1,,1.5,2.5,4,0.098,,-1.4,0.5,-0.8,0.6
101,Jonny Flynn\flynnjo01,PG,20,MIN,81,2339,13,0.511,0.226,0.284,1.1,8.1,4.6,24.7,1.8,0.1,17.9,24.2,,-0.6,0.7,0.1,0.002,,-0.8,-2.1,-2.9,-0.5
102,Jared Jeffries\jeffrja01,PF-SF,28,TOT,70,1794,9.8,0.507,0.226,0.382,8.1,10.3,9.1,8,1.8,2.9,17.2,11.1,,0.9,1.3,2.2,0.058,,-2.7,0.8,-1.9,0
103,Brandon Roy\roybr01,SG,25,POR,65,2419,21.3,0.568,0.213,0.424,3.7,10.9,7.3,23.1,1.4,0.5,9.5,26.7,,7,2.1,9.1,0.18,,4.7,0,4.7,4.1
104,Kevin Durant\duranke01,SF,21,OKC,82,3239,26.2,0.607,0.21,0.504,3.8,17.9,11,13.5,1.8,1.9,11.7,32,,11.1,5,16.1,0.238,,6.3,0.8,7.1,7.5
105,Stephen Graham\grahast01,SG,27,CHA,70,804,11.2,0.551,0.208,0.271,3.7,16.3,10.1,5,1.3,1,11.8,17.6,,0.4,1.2,1.6,0.094,,-2.4,0.8,-1.6,0.1
106,Marvin Williams\willima02,SF,23,ATL,81,2468,13,0.54,0.199,0.324,5,14.8,9.8,5.6,1.4,1.4,8.7,15.5,,3.1,2.6,5.7,0.112,,-0.4,0.1,-0.4,1
107,Eric Maynor\maynoer01,PG,22,TOT,81,1269,11.8,0.478,0.193,0.196,2,9.6,5.9,31.5,1.6,0.6,17.5,17.1,,0.5,1.4,1.9,0.071,,-1.7,-0.1,-1.8,0.1
108,Kobe Bryant*\bryanko01,SG,31,LAL,73,2835,21.9,0.545,0.192,0.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,,5.4,4,9.4,0.16,,3.9,0.2,4.1,4.4
